code_postal,tr002_type_batiment_id,annee_construction,surface_habitable,consommation_energie,nom_methode_dpe,tr001_modele_dpe_id,tr006_type_usage_id,description,tr004_type_energie_id,description.1,consommation_energie_finale,annee_DPE,coordonnees,ville
95000,Appartement,2014.0,88.86,58.0,FACTURE - DPE,11,1,Chauffage,3,Gaz,71157.2,2014,"49.0378977963, 2.06061895699","Pontoise, Boisemont, Cergy, Neuville-sur-Oise"
92000,Appartement,2001.0,58.93,178.14,3CL,22,1,Chauffage,2,Electricité,1762.38,2014,"48.8962161446, 2.2068493546",Nanterre
75019,Appartement,2015.0,22.06,62.36,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,58852.0,2015,"48.8868704923, 2.38465309568","Paris, Paris 19"
94200,Appartement,2014.0,65.45,48.11,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,19073.6,2015,"48.8126036229, 2.38769451134",Ivry-sur-Seine
92100,Appartement,2014.0,133.65,56.34,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,268199.0,2014,"48.8364966292, 2.23867632216",Boulogne-Billancourt
75019,Appartement,2015.0,49.49,53.23,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,238545.0,2015,"48.8868704923, 2.38465309568","Paris, Paris 19"
91120,Appartement,2015.0,47.68,86.86,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,91884.0,2015,"48.714670201, 2.22882062662",Palaiseau
93400,Appartement,2015.0,68.11,62.91,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,140249.0,2015,"48.9096159679, 2.33315490092",Saint-Ouen
93200,Appartement,2015.0,79.15,52.99,FACTURE - DPE,11,1,Chauffage,3,Gaz,16875.0,2015,"48.9296140653, 2.35920270384",Saint-Denis
94200,Appartement,2014.0,46.2,87.04,FACTURE - DPE,11,1,Chauffage,3,Gaz,98896.0,2014,"48.8126036229, 2.38769451134",Ivry-sur-Seine
91120,Appartement,2015.0,26.46,70.49,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,37276.0,2015,"48.714670201, 2.22882062662",Palaiseau
75012,Appartement,2013.0,53.5,83.63,th-CE,11,1,Chauffage,3,Gaz,2771.0,2015,"48.8347421662, 2.42053665524","Paris, Paris 12"
91120,Appartement,2015.0,66.3,75.9,FACTURE - DPE,11,1,Chauffage,2,Electricité,7264.0,2015,"48.714670201, 2.22882062662",Palaiseau
75011,Appartement,2013.0,81.65,61.69,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,232965.0,2013,"48.8593266337, 2.379860868049999","Paris, Paris 11"
93600,Appartement,2014.0,51.44,59.1,FACTURE - DPE,11,1,Chauffage,3,Gaz,112138.0,2014,"48.9461334622, 2.49331125191",Aulnay-sous-Bois
93110,Appartement,2005.0,24.0,233.4,3CL-DPE,9,1,Chauffage,2,Electricité,1050.48,2016,"48.8745435446, 2.48670478198",Rosny-sous-Bois
93600,Appartement,2014.0,80.8,62.49,FACTURE - DPE,11,1,Chauffage,3,Gaz,129808.0,2014,"48.9461334622, 2.49331125191",Aulnay-sous-Bois
95000,Appartement,2001.0,59.8,230.82,3CL,1,1,Chauffage,2,Electricité,3030.78,2014,"49.0378977963, 2.06061895699","Pontoise, Boisemont, Cergy, Neuville-sur-Oise"
75007,Appartement,2013.0,21.0,257.37,FACTURE - DPE,11,1,Chauffage,2,Electricité,35272.2,2014,"48.8561051636, 2.31254406306","Paris, Paris 07"
75013,Appartement,2014.0,23.64,45.32,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,84131.0,2014,"48.8283577313, 2.36214011885","Paris 13, Paris"
93300,Appartement,2014.0,41.06,72.04,FACTURE - DPE,11,1,Chauffage,3,Gaz,66930.0,2014,"48.9126312095, 2.38445065454",Aubervilliers
92130,Appartement,2006.0,109.4,104.65,TROIS_CL_DPE,1,1,Chauffage,3,Gaz,9315.31,2015,"48.8232529299, 2.26429719337",Issy-les-Moulineaux
91120,Appartement,2015.0,76.04,65.99,TH_C_E,11,1,Chauffage,4,Autres énergies,2602.17,2015,"48.714670201, 2.22882062662",Palaiseau
92000,Appartement,2010.0,31.0,422.1,3CL,9,1,Chauffage,2,Electricité,3575.01,2015,"48.8962161446, 2.2068493546",Nanterre
92100,Appartement,2015.0,244.49,62.49,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,223759.0,2015,"48.8364966292, 2.23867632216",Boulogne-Billancourt
93400,Appartement,2015.0,61.58,56.94,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,208499.8,2015,"48.9096159679, 2.33315490092",Saint-Ouen
92100,Appartement,2014.0,137.36,56.34,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,268199.0,2014,"48.8364966292, 2.23867632216",Boulogne-Billancourt
95000,Appartement,2015.0,88.37,39.85,FACTURE - DPE,11,1,Chauffage,3,Gaz,18684.0,2015,"49.0378977963, 2.06061895699","Pontoise, Boisemont, Cergy, Neuville-sur-Oise"
93300,Appartement,2014.0,18.33,82.52,FACTURE - DPE,11,1,Chauffage,3,Gaz,70248.3,2014,"48.9126312095, 2.38445065454",Aubervilliers
93100,Maison,2011.0,130.0,117.12,3CL-DPE,1,1,Chauffage,2,Electricité,2913.4,2015,"48.8631150275, 2.44833244212",Montreuil
95130,Appartement,2014.0,62.38,59.67,FACTURE - DPE,11,1,Chauffage,3,Gaz,53291.2,2014,"48.9926867479, 2.22747200568","Franconville, Le Plessis-Bouchard"
75017,Appartement,2015.0,44.78,44.69,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,51563.0,2015,"48.8872660268, 2.30686780021","Paris 17, Paris"
92400,Appartement,2014.0,19.54,87.86,FACTURE - DPE,11,1,Chauffage,2,Electricité,210039.7,2015,"48.8983884255, 2.25522376319",Courbevoie
93300,Appartement,2015.0,74.23,53.55,TH_BCE,11,1,Chauffage,3,Gaz,1796.84,2015,"48.9126312095, 2.38445065454",Aubervilliers
94400,Appartement,2006.0,57.62,183.0,Méthode 3CL,9,1,Chauffage,2,Electricité,2577.82,2014,"48.7885568869, 2.39425728394",Vitry-sur-Seine
95130,Appartement,2006.0,59.0,167.0,Méthode 3CL,1,1,Chauffage,2,Electricité,1488.12,2015,"48.9926867479, 2.22747200568","Franconville, Le Plessis-Bouchard"
92120,Appartement,2006.0,44.06,163.0,Méthode 3CL,1,1,Chauffage,2,Electricité,1494.98,2015,"48.8152695492, 2.31739229511",Montrouge
92000,Appartement,2015.0,52.55,46.45,FACTURE - DPE,11,1,Chauffage,3,Gaz,28209.0,2015,"48.8962161446, 2.2068493546",Nanterre
75019,Appartement,2015.0,90.8,57.25,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,157757.0,2015,"48.8868704923, 2.38465309568","Paris, Paris 19"
94200,Appartement,2015.0,61.45,66.27,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,111344.3,2015,"48.8126036229, 2.38769451134",Ivry-sur-Seine
92100,Appartement,2015.0,19.1,76.74,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,158012.0,2015,"48.8364966292, 2.23867632216",Boulogne-Billancourt
93200,Appartement,2014.0,49.0,54.62,FACTURE - DPE,11,1,Chauffage,3,Gaz,38457.0,2014,"48.9296140653, 2.35920270384",Saint-Denis
75013,Appartement,2009.0,14.51,327.0,Méthode 3CL,9,1,Chauffage,2,Electricité,1372.11,2014,"48.8283577313, 2.36214011885","Paris 13, Paris"
95130,Appartement,2014.0,63.61,56.01,FACTURE - DPE,11,1,Chauffage,3,Gaz,67424.5,2014,"48.9926867479, 2.22747200568","Franconville, Le Plessis-Bouchard"
94400,Appartement,2014.0,64.61,69.8,FACTURE - DPE,11,1,Chauffage,3,Gaz,39683.0,2015,"48.7885568869, 2.39425728394",Vitry-sur-Seine
75019,Appartement,2015.0,69.1,62.7,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,72209.0,2015,"48.8868704923, 2.38465309568","Paris, Paris 19"
75015,Appartement,2015.0,171.77,221.57,FACTURE - DPE,11,1,Chauffage,2,Electricité,37320.0,2015,"48.8401714342, 2.29321693746","Paris, Paris 15"
92400,Appartement,2001.0,19.16,256.96,3CL-DPE,1,1,Chauffage,2,Electricité,832.12,2014,"48.8983884255, 2.25522376319",Courbevoie
93200,Appartement,2009.0,70.03,291.0,Méthode 3CL,1,1,Chauffage,2,Electricité,5458.74,2014,"48.9296140653, 2.35920270384",Saint-Denis
92400,Appartement,2014.0,28.65,78.28,FACTURE - DPE,11,1,Chauffage,2,Electricité,195354.5,2014,"48.8983884255, 2.25522376319",Courbevoie
95000,Appartement,2014.0,78.98,54.72,TH_C_E,11,1,Chauffage,4,Autres énergies,2301.01,2014,"49.0378977963, 2.06061895699","Pontoise, Boisemont, Cergy, Neuville-sur-Oise"
94200,Appartement,2014.0,40.1,65.82,FACTURE - DPE,11,1,Chauffage,3,Gaz,98896.0,2014,"48.8126036229, 2.38769451134",Ivry-sur-Seine
92130,Appartement,2014.0,34.24,131.0,TH_C_E,11,1,Chauffage,3,Gaz,2692.11,2015,"48.8232529299, 2.26429719337",Issy-les-Moulineaux
75010,Appartement,2007.0,28.0,208.99,3CL - DPE,9,1,Chauffage,1,"Bois, Biomasse",963.5,2015,"48.8759734307, 2.36068494701","Paris, Paris 10"
75020,Maison,2006.0,83.5,243.0,Méthode 3CL,1,1,Chauffage,2,Electricité,6022.27,2015,"48.8634587721, 2.40123411777","Paris, Paris 20"
92000,Appartement,2015.0,66.97,57.71,FACTURE - DPE,11,1,Chauffage,3,Gaz,65107.0,2015,"48.8962161446, 2.2068493546",Nanterre
75019,Appartement,2015.0,88.66,44.72,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,238545.0,2015,"48.8868704923, 2.38465309568","Paris, Paris 19"
91120,Appartement,2015.0,30.29,75.69,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,236813.0,2015,"48.714670201, 2.22882062662",Palaiseau
95000,Appartement,2015.0,28.3,46.1,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,29200.0,2015,"49.0378977963, 2.06061895699","Pontoise, Boisemont, Cergy, Neuville-sur-Oise"
94400,Appartement,2007.0,87.33,224.75,3CL - DPE,1,1,Chauffage,2,Electricité,4726.95,2015,"48.7885568869, 2.39425728394",Vitry-sur-Seine
92600,Appartement,2014.0,40.46,55.97,TH_BCE,11,1,Chauffage,3,Gaz,1181.74,2014,"48.915464529, 2.28801082145",Asnières-sur-Seine
94200,Appartement,2015.0,64.1,63.76,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,83243.7,2015,"48.8126036229, 2.38769451134",Ivry-sur-Seine
91120,Appartement,2015.0,50.84,82.25,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,236813.0,2015,"48.714670201, 2.22882062662",Palaiseau
75015,Appartement,2015.0,64.95,230.13,FACTURE - DPE,11,1,Chauffage,2,Electricité,18213.0,2015,"48.8401714342, 2.29321693746","Paris, Paris 15"
93400,Appartement,2015.0,63.3,47.6,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,119824.8,2015,"48.9096159679, 2.33315490092",Saint-Ouen
95000,Appartement,2015.0,57.42,55.87,TH_C_E,11,1,Chauffage,4,Autres énergies,1876.85,2015,"49.0378977963, 2.06061895699","Pontoise, Boisemont, Cergy, Neuville-sur-Oise"
92400,Appartement,2014.0,43.61,84.31,FACTURE - DPE,11,1,Chauffage,2,Electricité,210039.7,2015,"48.8983884255, 2.25522376319",Courbevoie
93400,Appartement,2015.0,60.16,70.35,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,160642.0,2015,"48.9096159679, 2.33315490092",Saint-Ouen
93300,Appartement,2014.0,17.35,76.41,FACTURE - DPE,11,1,Chauffage,3,Gaz,70248.3,2014,"48.9126312095, 2.38445065454",Aubervilliers
92400,Appartement,2001.0,17.24,99.67,3CL-DPE,1,1,Chauffage,2,Electricité,665.99,2015,"48.8983884255, 2.25522376319",Courbevoie
93110,Appartement,2015.0,68.68,67.61,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,111349.0,2015,"48.8745435446, 2.48670478198",Rosny-sous-Bois
75019,Appartement,2015.0,95.1,61.21,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,237518.0,2015,"48.8868704923, 2.38465309568","Paris, Paris 19"
92100,Appartement,2015.0,61.4,56.54,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,171660.0,2015,"48.8364966292, 2.23867632216",Boulogne-Billancourt
94400,Appartement,2015.0,41.55,63.81,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,88896.0,2015,"48.7885568869, 2.39425728394",Vitry-sur-Seine
93110,Appartement,2015.0,47.12,78.47,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,111349.0,2015,"48.8745435446, 2.48670478198",Rosny-sous-Bois
93400,Appartement,2010.0,57.0,230.21,TROIS_CL_DPE,1,1,Chauffage,2,Electricité,2719.23,2015,"48.9096159679, 2.33315490092",Saint-Ouen
